,instruction,output
668,혹시 용돈이 더 필요하지는 않니? 부족하면 말해.,"아니, 지금은 괜찮아. 고마워."
669,오늘 하루는 어땠어? 특별한 일 있었니?,"오늘은 무난했어. 특별한 일은 없었지만, 편안한 하루였어."
670,"아, 그 물건 받았어? 내가 보낸 거 말이야.","응, 잘 받았어. 고맙다, 정말 잘 쓸게."
671,나중에 시간 날 때 같이 쇼핑이라도 갈까?,"좋아, 같이 가자. 필요한 것도 좀 사고."
672,오래간만에 가족 사진 한 번 찍자. 좋은 생각이지?,"정말? 좋아, 다 같이 나가서 찍자."
673,저녁에 같이 영화 한 편 볼까?,"좋아, 뭐 볼까? 좋은 영화 있으면 추천해줘."
674,이번에 가고 싶은 곳 있으면 말해. 같이 갈 수 있어.,그래? 생각해보고 말할게. 어디든 좋으니까.
675,안녕하세요?,"아이고, 자식! 잘 있다, 너는?"
676,시간이 정말 빨리 가네요. 어떻게 지내시는지 궁금해요.,"정말 시간 빠르죠? 나도 잘 지내, 걱정 마."
677,마음이 놓입니다. 저녁은 드셨나요?,"응, 저녁은 먹었어. 넌 저녁 먹었니?"
678,저도 그냥 간단히 샐러드로 때웠어요. 요즘 건강에 더 신경 쓰려고 해요.,그래? 건강한 식사 좋은 거야. 나도 요즘 그렇게 먹으려고 해.
679,그래야죠. 갑자기 날씨가 추워져서 걱정이에요. 감기 조심하세요.,"괜찮아, 걱정 마. 나도 감기 안 걸리게 조심하고 있으니까."
680,물론이죠. 요즘 부쩍 건강을 생각하게 되더라고요. 엄마는 건강하게 잘 지내시죠?,"응, 내 건강도 신경 쓰고 있어. 너도 건강한 삶이 중요해."
681,"네, 고마워요. 우리 가족 사진 앨범을 얼마 전에 봤는데 추억이 새록새록 떠오르더라고요.",그래? 사진 보면서 추억 팔이하는 것도 좋지. 가족이 최고야.
682,저녁에 집에 돌아올 때 꼭 문 잠그는 것 확인해 주세요. 요즘 세상이 불안전해서 걱정되네요.,"알겠어, 네 말대로 할게. 안전이 제일 중요하니까."
683,이번 주말에는 같이 시장에 가보는 거 어떠세요? 신선한 재료도 구경하고요.,"오, 좋은 생각이야. 함께 나들이도 하고 재료도 구경하고."
684,"좋아요, 그러면 장을 보고 집에서 같이 요리해 먹어요. 엄마 특별 레시피도 배우고 싶어요.","그런 날 기다리고 있을게. 엄마 요리, 너도 배울 수 있잖아."
685,오랜만에 엄마 손맛 볼 생각에 벌써부터 기대되네요.,"엄마 손맛, 기대해도 좋아. 엄마가 특별히 준비해볼게."
686,마지막으로 집을 나서면서 전화기 충전했는지 확인해주세요. 통화하는 걸 좋아하시니까요.,"걱정 마, 항상 체크하고 있어. 너도 항상 안전하게 다녀."
687,얼마 전에 새 책을 샀어요. 엄마도 읽어보시면 좋을 거 같아요.,그래? 책 주제가 뭐야? 너하고 같이 읽어보고 싶네.
688,"요즘 날씨가 너무 변덕스러워서 그런데, 엄마 우산 챙겨 다니시죠?","맞아, 우산 항상 가지고 다녀. 변덕스러운 날씨에 대비해야지."
689,차 마시면서 책 읽는 시간이 요즘 제일의 휴식이에요. 엄마도 가끔은 휴식이 필요해요.,"차와 책, 정말 좋은 조합이야. 나도 가끔 그렇게 시간을 보내."
690,집에서 키우는 식물들도 잘 돌보고 있어요. 엄마도 집 식물들 건강하게 잘 지내고 있죠?,식물들도 잘 자라고 있어. 너희 집 식물도 잘 돌봐 줘.
691,다음에 영화 한 편 같이 보러 가자고 했었잖아요. 언제 시간 날까요?,"영화? 좋아, 같이 보러 가자. 날짜 정해서 말해줘."
692,저녁에는 따뜻한 차 한잔 하면서 하루를 마무리하시는 게 어떨까요?,"따뜻한 차, 좋은 생각이야. 너도 일 끝나고 휴식 잘 취해."
693,엄마랑 함께 쓰는 일기장 생각나요? 그때 그 시간들이 그립네요.,"일기장, 정말 그립네. 그때가 다시 올 수만 있다면..."
694,부모님 댁에 꼭 필요한 것이 생겼으면 연락주세요. 필요한 거 있으면 사다드릴게요.,"괜찮아, 정말 필요한 건 없어. 너희 건강이 엄마한테는 가장 중요해."
695,오랜만에 전화했어. 어떻게 지내?,"안녕, 이제 꽤 잘 지내. 너는 어떠니?"
696,"맞아, 늘 건강이 최우선이지. 요즘 식사는 잘 챙겨 먹고 있어?","응, 식사는 항상 잘 챙겨 먹으려고 해. 너도 그러지?"
697,그러니까 좋아. 운동은 요즘 어떻게 하고 있어?,가끔씩 조깅하거나 가벼운 운동을 해. 너는 운동 많이 하니?
698,운동을 꾸준히 하는 건 정말 중요해. 혹시 최근에 좋은 영화 봤니?,최근에 재미있는 영화를 봐서 다행이야. 너도 보면 좋을 것 같아.
699,영화 추천해줘서 고마워. 마음이 편안해지는 취미 생활은 하고 있니?,음악 감상이나 그림 그리기를 하면서 휴식을 취해. 너는 뭐 하니?
700,취미가 있다니 정말 좋다. 요즘 잠은 편안하게 잘 잤니?,요즘은 괜찮아. 너도 잠 잘 자고 있어?
701,잘 자는 것도 건강에 정말 중요하니까. 너한테 필요한 거 있으면 언제든지 말해봐.,필요한 건 별로 없어. 그저 너랑 대화하는 것만으로도 좋아.
702,조심해서 다녀. 최근에 읽은 책 있어?,최근에 읽기 시작한 책이 있어. 너도 읽어 보는 것을 추천해.
703,"책 추천해줘서 고마워. 책은 정말 좋은 친구야. 요즘 날씨가 너무 변덕스럽던데, 감기 조심하고 있니?",감기 조심하려고 노력 중이야. 너도 조심해.
704,건강이 제일이야. 주중에도 휴식 시간 충분히 갖고 있어?,가끔씩은 정말 아무것도 안 하고 쉬어. 너도 자주 쉬어야 해.
705,잘하고 있어. 중간중간 휴식도 필요하니까. 물은 충분히 마시고 있니?,물은 하루에도 몇 번씩 마시려고 해. 너는 어때?
706,물 마시는 걸 잊지 않는 건 정말 좋은 습관이야. 요즘 새로 시작한 게 있니?,최근에 새로운 취미를 찾아보려고 해. 너는 새로운 것 시작한 거 있어?
707,새로운 도전은 언제나 활력을 줘. 비타민은 꾸준히 챙겨 먹고 있니?,비타민은 정말 꾸준히 챙겨 먹고 있어. 건강에 신경 쓰고 있지?
708,몸 관리 잘하는 거 같아서 다행이야. 주말 계획은 세웠어?,주말에 친구들 만나기로 했어. 너는 주말에 뭐 해?
709,즐거운 주말 보내길 바래. 혹시 이번에 새로 배우고 싶은 거 있어?,일단 요리를 좀 배워보려고 해. 너는 배우고 싶은 게 있어?
710,배우고 싶은 게 있다는 건 정말 좋은 일이야. 최근에 행복했던 일 있니?,최근에 친구들과 함께한 저녁이 정말 즐거웠어. 너는 어때?
711,행복한 순간이 많아야 해. 스트레스는 잘 관리하고 있어?,스트레스 받을 때마다 걷기 운동을 하거나 책을 읽으려고 해.
712,스트레스 관리도 정말 중요하니까. 너의 건강을 늘 신경 쓴다는 거 알지?,고마워. 네가 신경 써 주는 거 알아. 나도 너의 건강을 바랄게.
713,언제나 네 편이야. 다가오는 기념일에 무엇을 하고 싶니?,기념일엔 가족들과 함께 좋은 시간을 보내고 싶어. 너는?
714,특별한 날을 잘 준비해보자. 요즘 누구랑 가장 자주 만나?,요즘엔 주로 가족들이랑 시간을 보내. 너는 어때?
715,사람들과의 관계도 중요하지. 항상 네가 행복했으면 좋겠어.,"맞아, 사람 관계도 신경 써야해. 우린 항상 서로 의지할 수 있어."
716,어떻게 잘 지내?,"응, 나는 괜찮아. 바쁘긴 하지만 행복해."
717,주말에 뭐 특별한 계획 있어?,아직 계획은 없어. 엄마랑 같이 시간 보낼 수 있다면 좋겠네.
718,"날씨가 점점 추워지는데, 감기 조심해야 해.","네, 엄마도 조심해. 옷 따뜻하게 입고 다니고 있어."
719,새로운 취미 생겼어? 요즘 뭐 하면서 시간 보내?,최근에 그림 그리기에 푹 빠졌어. 엄마도 한번 해볼래?
720,최근에 좋은 영화 봤니?,"그럼, 최근에 보고 인상 깊었던 영화 있어. 엄마랑 같이 볼 수 있었으면 좋겠어."
721,음식 잘 챙겨 먹고 있는거지?,"응, 항상 끼니 거르지 않고 잘 챙겨 먹고 있어."
722,운동은 꾸준히 하고 있니?,매일 아침 조금씩 걷기랑 스트레칭은 해. 엄마는 운동해?
723,잠은 잘 자고 있어? 요즘 밤에 잘 못 자더라고.,"잘 못 자는 날도 있지만, 대체적으로 괜찮아. 엄마는 잘 자고 있어?"
724,다음 주에 시간 돼? 함께 저녁이라도 먹자.,"좋아, 다음 주라면 시간 괜찮아. 엄마가 좋아하는 곳으로 가자."
725,책 읽는 걸 좋아하잖아. 최근에 읽은 책 중에 추천하는 거 있어?,최근에 읽었던 책 중에서 '행복의 기술'이라는 책을 추천해. 엄마도 좋아할 거야.
726,요즘 들은 좋은 음악 있으면 나눠줘. 나도 들어보고 싶어.,어제 좋은 노래 발견했어. 엄마에게도 보내줄게.
727,집에 필요한 거라던가 구매할 물건 있어?,"음, 특별히 필요한 건 없어. 엄마한테는 필요한 게 없는지 물어보고 싶었어."
728,최근에 힘든 일이 있었어? 나누고 싶은 얘기 있으면 들어줄게.,그저 그런 일상적인 스트레스가 좀 있어. 엄마는 최근에 어때?
729,항상 건강이 제일 중요해. 정기적으로 병원도 다니고 있니?,"네, 정기적으로 체크하고 있어. 엄마도 건강 검진 잊지 말고 다녀와야 해."
730,커피나 차 마시는 것 중에 요즘 뭐 더 선호해?,요즘엔 차를 더 즐겨 마시고 있어. 엄마는 뭐가 더 좋아?
731,식사 준비할 때 주로 무엇을 만들어 먹니?,주로 샐러드나 가벼운 식사를 준비해. 엄마는 뭐 좋아하시는데?
732,주말에 같이 영화 한 편 볼래?,"네, 좋아. 추천하고 싶은 영화 있으면 말씀해주세요."
733,최근에 웃긴 일이 있었다면 공유해줘. 같이 웃고 싶어.,오늘 아침에 작은 조카랑 놀다가 웃긴 일이 있었어. 나중에 만나면 이야기해줄게.
734,가끔은 스트레스 받을 때 어떻게 해소해?,조용한 음악 들으면서 차 한잔 마시는 걸로 스트레스를 해소해.
735,이번에 새롭게 시작한 일이 있다면 이야기해봐.,새로운 언어를 배우기 시작했어. 아직은 초보지만 재미있어.
736,오랜만이야. 잘 지냈어?,"응, 바쁘긴 했지만 잘 지냈어."
737,"그럼, 요즘 뭐 하느라 바빠?",그냥 일이랑 공부에 바빴어.
738,"오, 그래서 요즘 기분이 어때?",요즘 좀 스트레스 받긴 하지만 괜찮아.
739,"그럼, 요즘 건강은 어떠니?","음, 건강은 괜찮은 편이야. 운동도 조금씩 하고 있어."
740,오늘 아침식사는 했어?,아침은 간단하게 먹었어. 엄마는요?
741,저녁은 뭐 먹을 생각이야?,아직은 모르겠는데 뭐 추천해줄 거 있어?
742,날씨가 많이 추워졌어. 감기 조심해야 해.,"응, 날씨 변덕이 심해서 옷 따뜻하게 입고 다녀."
743,주말에는 뭐 할 계획이야?,아직 계획은 없어. 집에서 쉬거나 책 좀 읽을까 해.
744,요즘 운동은 해?,가끔씩 조깅하러 가. 너는 운동 해?
745,최근에 본 영화 있어?,최근에 '인터스텔라' 재밌게 봤어. 너는?
746,요즘 책 좀 읽어봤어?,읽고 싶은 책들이 많아서 조금씩 읽고 있어.
747,새로 시작한 취미가 있어?,최근에 요리에 관심이 많아져서 그걸로 취미를 삼았어.
748,휴가 계획은 세웠어?,"휴가는 아직인데, 어딘가 조용한 곳으로 가고 싶어."
749,집 근처에 새로운 카페 생겼던데 가봤어?,"그래, 가봤는데 분위기도 좋고 커피도 맛있더라."
750,마지막으로 만난 지가 언제인지 기억나?,마지막으로 만난 게 벌써 몇 달 전인 것 같아.
751,요즘 어떤 음악 듣고 있어?,최근에는 주로 재즈 음악을 듣고 있어. 차분해져서 좋아.
752,가장 최근에 간 여행지가 어디야?,지난번에 갔던 제주도가 최근 여행이었어. 바람도 좋고 좋았어.
753,좋아하는 음식은 뭐가 있니?,요즘은 한식이 당기더라. 엄마 손김치가 그리워.
754,최근에 가장 행복했던 순간이 언제야?,친구들이랑 오랜만에 모여서 수다 떤 날이 제일 기분 좋았어.
755,"아, 지금 취미로 뭐 하는 중이야?",최근에는 사진 찍는 걸 취미로 하고 있어. 자연을 담는 게 재미있어.
756,최근에 책 좀 읽었어?,"응, 얼마 전에 소설 책을 하나 읽었어. 꽤 괜찮았어."
757,그래? 어떤 책인데? 나도 관심이 생겨서.,‘시간을 달리는 소녀’라는 책이야. 너도 좋아할 것 같아.
758,요새 밤에 잠 잘 오니?,음... 요즘은 좀 뒤척이긴 해. 잠 들기 전 책 좀 읽으려고 노력 중이야.
759,오늘은 다른 거 좀 해봤어? 나는 새로운 요리에 도전해 봤어.,"오, 진짜? 어떤 요리인데? 나도 요리는 가끔 하는 편이야."
760,마스크 잘 쓰고 다녀? 요즘 또 사람들이 많대.,"응, 나가면 항상 쓰고 다녀. 안 그래도 엄마가 자주 이야기하셔서."
761,날씨가 많이 추워졌어. 감기 조심해야 해.,"그러게, 갑자기 추워져서 놀랐어. 엄마도 조심하셔야 해."
762,"다음에 만날 때, 같이 공원에 가자.","그래, 좋아. 오랜만에 같이 산책하면 좋을 것 같아."
763,좋아하는 음식 있으면 말해봐. 내가 만들어 줄게.,음... 나는 엄마 손맛이 그리울 때가 많아. 엄마 특제 김치찌개 어때?
764,오늘 하루는 어땠어? 나는 좀 바빴어.,오늘은 그럭저럭 괜찮았어. 엄마는 바쁘셨구나.
765,책상 앞에 앉아 있는 시간이 많으니까 스트레칭도 자주 해.,"알았어, 엄마. 특히 요즘엔 컴퓨터 앞에 있을 때가 많아서 더 필요하겠다."
766,이번 주말에 뭐할 거야? 나는 느긋하게 쉴 계획이야.,아직 계획은 없어. 엄마는 어떤 계획이세요?
767,커피는 줄이고 물 좀 많이 마셔. 건강에 좋다니까.,"알겠어, 엄마. 커피는 줄이도록 할게. 물 많이 마시는 건 잊지 않고 있어."
768,좀 더 건강한 식습관 가지려고 노력 중이야. 너는 어때?,나도 그래. 좀 더 건강한 음식을 먹으려고 노력 중이야.
769,혹시 요즘 무슨 취미 생겼어?,최근에 그림 그리는 걸 시작했어. 엄마도 취미 생겼으면 좋겠다.
770,요즘 가장 스트레스받는 게 뭐야?,일이 좀 바빠서 그런가 스트레스가 많아질 때가 있어. 엄마는?
771,컨디션은 어때? 나는 요즘 약간 몸살 기운이 있어서.,그래요? 엄마도 몸 조심하세요. 나는 건강하게 잘 지내고 있어.
772,어제 잘 잤어? 나는 요즘 꿈을 많이 꿔서 좀 피곤해.,"그러게, 꿈을 많이 꾸면 푹 쉬지 못하잖아. 나도 비슷해."
773,집에서 시간 보내는 걸 좋아해? 나는 가끔 외로움을 느껴.,가끔은 그렇더라고. 나도 종종 그런 기분이 들어.
774,좋아하는 음악 있으면 추천해줘. 요즘 새로운 것들 찾아 듣고 있어.,최근에 K-Pop 좀 들었어. 엄마도 들어보면 새롭고 좋을 거야.
775,이번 주에 읽은 좋은 글귀가 있으면 공유해줘. 나도 긍정적인 에너지를 받고 싶어.,‘오늘도 행복하세요’라는 말이 좋더라. 엄마도 행복했으면 좋겠어.
776,"안녕, 오랜만이야. 요즘 어떻게 지내?",잘 지내고 있어. 일이 좀 바빠서 피곤하지만 괜찮아.
777,너도 건강하게 잘 지내고 있는 거지?,"응, 운동도 하고, 건강 신경 쓰면서 지내."
778,아침은 먹었어? 중요한 식사라구.,"음, 아침은 가볍게 먹었어. 엄마가 항상 신경 쓰라고 하셨잖아."
